# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.1248 136.71875 9.021284482848796e-07 5.567240439193112e-08 3.4425555421214933e-08 6.545636315010064e-08
0.1664 34.1796875 1.0376182403829179e-06 8.204401420420486e-08 7.639098467828056e-09 8.239888404669654e-08
0.2496 34.1796875 1.5415478334097805e-06 6.372338728537461e-08 3.80204360449524e-08 7.420393280797291e-08
0.3328 34.1796875 2.216152929690381e-06 6.229479519798179e-08 4.469697357574277e-08 7.6671122044673e-08
0.41600000000000004 14.6484375 3.0407229382999313e-06 7.113221795379656e-08 2.8797482498882327e-10 7.113280087643285e-08
0.4992 34.1796875 3.980169261315299e-06 7.315210154297839e-08 7.929326881591435e-08 1.0788258635974146e-07
0.5824 8.544921875 5.097021651279494e-06 1.603577385131258e-07 1.7733792716467085e-07 2.3908857085211356e-07
0.6656 8.544921875 5.926595558725601e-06 2.3173561667010064e-07 2.536861707362889e-07 3.4359579342057337e-07
0.7488 3.662109375 6.727166300143409e-06 3.3845356823457195e-07 2.0102183979234033e-07 3.936503498337216e-07
0.832 0.91552734375 7.130392220384633e-06 6.300509123544672e-07 1.309674785766343e-07 6.435189450229245e-07
0.9152 0.8392333984375 7.438119073049856e-06 9.098214001549678e-07 2.969185116925318e-07 9.570452354855826e-07
