# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.11180999999999999 1.07421875 1.006086197882731e-07 1.4299592041857537e-08 5.805580440185759e-09 1.5433181681397486e-08
0.17037714285714284 0.68359375 1.8821718772267563e-07 1.5608936916743812e-08 7.550856820716722e-10 1.562718996039139e-08
0.2289442857142857 0.1708984375 2.9452991039328817e-07 1.3736164152157049e-08 8.802350888629015e-09 1.6314520734044026e-08
0.28751142857142853 0.68359375 3.792796572498208e-07 1.3918294076238908e-08 5.174398567572986e-10 1.3927909175394134e-08
0.34607857142857146 0.1708984375 4.2098590041098157e-07 4.461181109767311e-08 1.5267117039335223e-09 4.46379271252754e-08
0.4046457142857143 46.875 5.218315074083262e-07 6.367297652264383e-09 6.198672172378381e-09 8.886282467553551e-09
0.4632128571428571 46.875 5.095814210759357e-07 7.227246607427241e-09 1.7664253819914545e-09 7.439983343712015e-09
0.52178 21.875 4.5849556143770764e-07 1.117885440541344e-08 4.323658241264763e-09 1.1985858601063513e-08
0.5803471428571428 9.375 3.877697734218203e-07 1.3909304396261842e-08 2.2789464180437174e-08 2.6698846911791865e-08
0.6389142857142857 5.46875 3.150143819693242e-07 1.0525794114514432e-08 4.094264804579444e-08 4.227402004473837e-08
0.6974814285714286 5.46875 2.404444175129449e-07 1.0517578707539457e-08 3.719547434122333e-08 3.865388432406102e-08
0.7560485714285714 5.46875 1.747544948466175e-07 1.0253101276619343e-08 2.192262030519696e-08 2.420180503256828e-08
0.8146157142857142 5.46875 1.2080096221777817e-07 9.569114589267505e-09 2.038167073513988e-09 9.783766097065526e-09
0.8731828571428571 5.46875 7.893783099142106e-08 8.800329790972206e-09 1.5969111505494676e-08 1.823343979354404e-08
0.93175 5.46875 4.808443921271541e-08 8.285133522364877e-09 2.807605941331272e-08 2.9273000352940934e-08
