# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.1248 136.71875 9.021284482848796e-07 5.567240439193112e-08 3.4425555421214933e-08 6.545636315010064e-08
0.1664 34.1796875 1.0376182403829179e-06 8.204401420420486e-08 7.639098467828056e-09 8.239888404669654e-08
0.208 34.1796875 1.2706186844028114e-06 6.922429637433377e-08 2.147837934907549e-08 7.247981779767656e-08
0.2496 34.1796875 1.5415478334097805e-06 6.372338728537461e-08 3.80204360449524e-08 7.420393280797291e-08
0.2912 34.1796875 1.8558822711548663e-06 6.2185063923056e-08 4.56913384897011e-08 7.71665768846526e-08
0.3328 34.1796875 2.216152929690381e-06 6.229479519798179e-08 4.469697357574277e-08 7.6671122044673e-08
0.37439999999999996 53.7109375 2.6451859303681935e-06 5.7879501389775395e-08 4.2873349473942236e-08 7.202888848402282e-08
0.41600000000000004 14.6484375 3.0407229382999313e-06 7.113221795379656e-08 2.8797482498882327e-10 7.113280087643285e-08
0.4576 53.7109375 3.5142434883367222e-06 6.309129450575322e-08 2.2237025060242585e-08 6.689541632983192e-08
0.4992 34.1796875 3.980169261315299e-06 7.315210154297839e-08 7.929326881591435e-08 1.0788258635974146e-07
0.5408 8.544921875 4.598735736850183e-06 1.2923084893492218e-07 1.23902101362567e-07 1.7903168166137663e-07
0.5824 8.544921875 5.097021651279494e-06 1.603577385131258e-07 1.7733792716467085e-07 2.3908857085211356e-07
0.624 8.544921875 5.544530565654903e-06 1.9579244676438507e-07 2.2392671766546563e-07 2.974522770032425e-07
0.6656 8.544921875 5.926595558725601e-06 2.3173561667010064e-07 2.536861707362889e-07 3.4359579342057337e-07
0.7072 8.544921875 6.242202031843598e-06 2.638066479183552e-07 2.5669859302335635e-07 3.6808710266197825e-07
0.7488 3.662109375 6.727166300143409e-06 3.3845356823457195e-07 2.0102183979234033e-07 3.936503498337216e-07
0.7904 3.35693359375 6.952379256019286e-06 3.7370171907362395e-07 1.1926696693964897e-07 3.922723342801084e-07
0.832 0.91552734375 7.130392220384633e-06 6.300509123544672e-07 1.309674785766343e-07 6.435189450229245e-07
