# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.16455 0.0341796875 6.065713402102045e-08 1.584816154992161e-08 1.2278917544856503e-09 1.5895657981761798e-08
0.2049657894736842 0.0341796875 8.710002248350882e-08 5.296897269048429e-08 2.1515996156924957e-10 5.296940967855252e-08
0.24538157894736842 0.0341796875 1.1241993599174504e-07 4.7951696737188875e-08 2.943415210466982e-10 4.795260010579554e-08
0.3262131578947368 0.0341796875 1.4955596034793888e-07 4.361804797489449e-08 2.052614517540136e-09 4.36663180895506e-08
0.4070447368421053 0.0341796875 2.674828900234987e-07 6.017084531210852e-08 1.1726230395496112e-09 6.018227039890215e-08
0.48787631578947366 0.0341796875 5.00277122948341e-07 3.747519252885864e-08 8.480521685572178e-09 3.842277063323885e-08
0.5687078947368421 0.0341796875 7.137737110293578e-07 6.086003029660135e-08 6.746040553744122e-09 6.12327718697757e-08
0.6495394736842105 0.0341796875 7.868341640769105e-07 6.987648172947262e-08 1.0326375468268428e-08 7.06353787361615e-08
0.730371052631579 0.0341796875 7.10649646410291e-07 5.517215226510421e-08 2.4608792414018298e-08 6.041158042660437e-08
0.7707868421052632 0.0341796875 6.356526518322165e-07 4.636032867960662e-08 2.55121241460278e-08 5.2916429903419325e-08
0.8112026315789473 0.0341796875 5.489060519035514e-07 4.219594994705054e-08 2.147962721761554e-08 6.7348416840922195e-08
