# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.16343999999999997 0.08750000000000001 6.913926998783715e-09 3.135010942456938e-09 1.3692698745854722e-09 3.420993072014624e-09
0.21791999999999997 0.08750000000000001 1.3009111058057795e-08 2.8801376177239485e-09 2.915062904763126e-10 2.8948520885212494e-09
0.2724 0.08750000000000001 2.348003878075498e-08 2.9670425850682804e-09 4.1143218720276595e-10 2.9954328812836245e-09
0.38136 0.08750000000000001 6.191793480800435e-08 3.974154304881884e-09 2.4140581604030006e-09 4.64990099258248e-09
0.49032 0.08750000000000001 1.1069810766753704e-07 8.74969259179407e-09 1.6937097198231517e-11 8.749708984655292e-09
0.59928 0.08750000000000001 1.3339441462380123e-07 1.0635711782147231e-08 9.10797016397472e-09 1.4002624240504317e-08
0.70824 0.08750000000000001 1.1589609204738643e-07 1.3084942685503816e-08 5.525155802561418e-09 1.4203628822434707e-08
0.8171999999999999 0.08750000000000001 8.132336799514792e-08 1.6350625025178532e-08 1.4703891285697495e-08 2.1989710267659398e-08
0.9261600000000001 0.08750000000000001 5.504450266752416e-08 1.7367800340484963e-08 2.7915637106468147e-08 3.287739776391938e-08
1.03512 0.08750000000000001 4.2489232372708174e-08 1.87951639534971e-08 1.6967264315736074e-08 2.532086583035595e-08
1.14408 0.08750000000000001 3.7031606135272714e-08 1.87179946357782e-08 9.960497998860396e-09 2.120318003437983e-08
1.25304 0.08750000000000001 3.2662585719158537e-08 1.5951865151071588e-08 3.360056001419382e-08 3.719488721673199e-08
1.362 0.08750000000000001 2.778143292038999e-08 1.3418556021061557e-08 4.17416681204252e-08 4.384546160283968e-08
1.47096 0.08750000000000001 2.3342856917435765e-08 1.3748857953541034e-08 3.3905520565390024e-08 3.658709362380038e-08
