# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.19284 0.1375 -9.520797940730658e-09 7.99977788193942e-09 3.429134356004055e-09 8.703758302704327e-09
0.25712 0.1375 1.3526996108504708e-08 4.9435816472726475e-09 1.3965417709812968e-09 5.137054449910621e-09
0.3214 0.1375 7.133328346720291e-08 9.58124237334738e-09 1.6369002108477997e-08 1.896693004795938e-08
0.38568 0.1375 1.7832003834846033e-07 2.1129668662205377e-08 2.323011720347701e-08 3.1402249012799424e-08
0.44996 0.1375 3.461523042060611e-07 2.3744474206949253e-08 1.493989874407402e-08 2.8053531504031055e-08
0.51424 0.1375 5.798852704621619e-07 3.220228500449428e-08 7.712806221615724e-08 8.358065051631327e-08
0.57852 0.1375 8.527894422651596e-07 5.5821588101084657e-08 9.009745951992566e-08 1.059886876514272e-07
0.70708 0.1375 1.2111989989216484e-06 7.25929728622985e-08 1.1764957550741112e-07 2.382431275907068e-07
0.83564 0.1375 9.57818032022391e-07 8.825242771419627e-08 1.899348087062284e-07 2.0943667910784159e-07
0.9642000000000001 0.1375 3.8084905350721305e-07 1.0329726251576699e-07 7.023114210960621e-08 2.2491091931961345e-07
1.0927600000000002 0.1375 -1.3888985829040652e-08 1.0435441639895715e-07 2.600242466730349e-07 2.8018289219694736e-07
