# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.1422 0.9375 4.193466570302823e-08 2.3735054915678662e-09 1.7760599617529204e-09 2.9644421576823866e-09 0.013834569008458428
0.2133 0.9375 7.483967518773028e-08 1.0584646921742367e-09 8.242690582239644e-10 1.3415539440980086e-09 0.023674951407795845
0.2844 0.9375 1.3092160770577807e-07 4.3449589742018914e-09 1.1148818749726325e-10 4.346389087903771e-09 0.06788859380963765
0.3555 0.9375 1.7707516028206625e-07 3.1147804259363325e-09 1.044094100046665e-09 3.2851163741256374e-09 0.2232045536875575
0.4266 0.9375 1.8981132752851603e-07 5.73561582429878e-09 1.56150252235006e-10 5.7377410001863654e-09 0.45663594051028283
0.49770000000000003 0.9375 1.7452904840053e-07 6.700114867338026e-09 8.579204909959011e-10 6.75481804376659e-09 0.6852786917166185
0.5688 0.9375 1.4755231458430114e-07 5.599207159228455e-09 2.6649307773838615e-10 5.605545412574736e-09 1.1504403298574244
0.6399 0.171875 1.2111106810310592e-07 1.242059007349677e-08 3.898841841204532e-09 1.3018142166859818e-08 1.295746903498508
0.711 0.109375 1.0006744699860427e-07 1.2972678484032099e-08 1.0599012493742278e-08 1.6751998474587272e-08 2.4530648334286647
0.7821 0.109375 8.487363290345867e-08 1.199652704414356e-08 7.09461729125838e-09 1.3937369035448914e-08 3.1457038099294476
