# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.1422 0.9375 5.463745680748339e-08 3.3416114130710163e-09 2.186608812013827e-09 3.993447750095523e-09 0.012544394490695637
0.2133 0.9375 1.1687158994360035e-07 1.618162164790952e-09 9.204378649447651e-11 1.6207778534374107e-09 0.02316859976308451
0.2844 0.6875 2.1779861644322308e-07 6.323230287590631e-09 7.445802402875673e-09 9.768480674729958e-09 0.050009371592898255
0.3555 0.6875 2.6045996844072774e-07 4.741026283864417e-09 6.072212963186438e-09 7.703836738572714e-09 0.20901780458299984
0.4266 0.109375 2.354869188346627e-07 1.705355022371415e-08 1.9065095755772327e-08 2.557931686753008e-08 0.2265068811224701
0.49770000000000003 0.6875 2.6202034026488073e-07 9.774335348368559e-09 7.687767017125467e-09 1.2435408847801078e-08 0.5968027164788247
0.5688 0.109375 2.798872034115548e-07 1.6332742458770907e-08 1.921068913207805e-08 2.5215254374165644e-08 0.8580925026415527
0.6399 0.109375 2.8426875011925065e-07 2.0546000169537563e-08 4.642133933236338e-08 5.076493739163937e-08 1.0457547776513387
0.711 0.109375 2.536876479474537e-07 1.90210931610789e-08 3.6974537371601526e-08 4.1580264536032e-08 2.2301657770749133
0.7821 0.109375 2.0240872060181507e-07 1.6286469779882106e-08 2.920779212594688e-09 1.654630016347275e-08 2.843319314277926
