# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.1422 0.109375 1.3683886492468422e-08 7.832272854340189e-10 1.503463038986436e-09 1.695242192209323e-09 0.0008225937542101706
0.2133 0.9375 4.6267202049973076e-08 2.077810772722873e-09 9.035580386627057e-11 2.07977445376549e-09 0.0004923352489512534
0.2844 0.109375 8.365900794739876e-08 4.275806377463883e-09 1.6131088240195984e-08 1.6688155320182934e-08 0.0023005516230732207
0.3555 0.9375 9.603910619798846e-08 4.698229909581711e-09 1.2442083275978787e-09 4.860187099870959e-09 0.012601045441565414
0.4266 0.109375 8.633146075252704e-08 9.278756272591068e-09 1.8662532387760926e-08 2.0841915293234774e-08 0.015774881683865788
0.49770000000000003 0.9375 1.0216506140899007e-07 6.434524604038643e-09 3.6513531011611275e-09 7.398343486844716e-09 0.07102393713140441
0.5688 0.6875 1.120222430571384e-07 8.025909075858763e-09 1.0191563648262398e-08 1.2972400937780779e-08 0.13716066104124375
0.6399 0.109375 1.3943295377293987e-07 1.7517068431113465e-08 3.9000294162268484e-08 4.2753603721368154e-08 0.13890287705489787
0.711 0.109375 1.214956220537676e-07 1.5863959286387096e-08 6.32338950653634e-08 6.519348655638489e-08 0.24390150854764364
0.7821 0.109375 8.120828842839885e-08 1.643170569475334e-08 3.8108466107676703e-08 4.150007398931878e-08 0.4833193218288741
