# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.14559 0.109375 3.3195792396045066e-08 7.525277644587727e-09 6.689468412869177e-09 1.0068703554823047e-08 0.005441568479691777
0.19412000000000001 0.9375 6.406129551235738e-08 1.918956376809629e-09 6.30429829466476e-10 2.019860229317729e-09 0.0037008819687435793
0.24265 0.171875 1.083175353565239e-07 9.540522672186182e-09 1.5476985356190882e-08 1.8181271918494744e-08 0.029071987140653528
0.29118 0.9375 1.268014356084143e-07 6.411643898950353e-09 6.7200059514002805e-09 9.288038408286352e-09 0.039798493642981325
0.33971 0.171875 1.6088297601884094e-07 7.816171828385502e-09 2.2646847750890048e-08 2.3957718069608398e-08 0.0875420877681219
0.38824000000000003 0.171875 2.119104996443907e-07 1.551306260344787e-08 4.332150952521534e-08 4.601530505040488e-08 0.21843393324022273
0.43677 0.9375 2.977927291375344e-07 8.592856540247565e-09 1.3435378099876378e-08 1.5948246555904293e-08 0.31644038754447945
0.4853 0.9375 3.4577702769595904e-07 1.0354711741794642e-08 5.9232871346335634e-09 1.1929182106706869e-08 0.40372261558503414
0.53383 0.171875 3.959782395735585e-07 1.52602462590757e-08 5.495791924793394e-08 5.703725102027676e-08 0.6239924995319107
0.58236 0.171875 4.0543400965746944e-07 1.6468988786471805e-08 7.22813544446551e-08 7.413381004644775e-08 0.8616089944785826
0.6308900000000001 0.109375 3.875767772229216e-07 2.0102186175700018e-08 7.5429513985526e-08 7.8062215374246e-08 0.7786263883354626
0.67942 0.1875 3.395429121764385e-07 1.1548782006290429e-08 3.014455189020423e-08 3.2281083849369626e-08 1.0997979503880428
0.72795 0.109375 3.0026475680939166e-07 2.0347441219081917e-08 1.4947070549060998e-08 2.5247441101279957e-08 1.7573007759225696
0.7764800000000001 0.109375 2.5391192342788644e-07 1.893490655617952e-08 5.955640932908578e-08 6.249397233705717e-08 2.046940487966983
0.82501 0.109375 2.1382975189232322e-07 1.8156028860844405e-08 8.858170746059006e-08 9.042322865629921e-08 2.3578967483680375
0.8735400000000001 0.109375 1.8200449710920782e-07 1.8218520513358176e-08 9.865253227616777e-08 1.003206689281724e-07 2.690631568293595
0.9220700000000001 0.109375 1.5832129985756377e-07 1.8522434269644615e-08 9.14780826640477e-08 9.333445333403766e-08 3.0265701750739957
0.9706 0.109375 1.4154558089335787e-07 1.8450774852667376e-08 7.16329969156862e-08 7.397105744672392e-08 3.3423681738747466
