# Energy 	 Lambda(Bayes) 	 Rho(Bayes) 	 Stat(Bayes) 	 Sys(Bayes) 	 Quadrature 	 NLL
0.24056999999999998 2.0 -5.273778715266662e-10 7.800288528093035e-10 4.4341844907326823e-10 8.972541068134158e-10 -915.3712172831463
0.32076 2.0 -8.564042361097728e-10 1.007251992878583e-09 1.0613767333721865e-09 1.463241998885246e-09 -917.2126905551161
0.40095000000000003 2.0 2.494277898005722e-09 2.0596579187991506e-09 9.513374514319884e-10 2.2687515705711717e-09 -918.114853775488
0.48114 2.0 1.1790430869320655e-08 2.952107499264833e-09 2.7821365159270544e-09 4.056503701523073e-09 -918.2599997174698
0.56133 1.0 3.2312444418257214e-08 6.4653897243569565e-09 6.227567154310211e-09 8.976851171165973e-09 -918.0877681024467
0.64152 1.0 6.717702183022566e-08 8.301805232388634e-09 2.055630891247167e-09 8.552519422811323e-09 -918.2850192935115
0.7217100000000001 0.9375 1.1773500666334065e-07 1.053999360315395e-08 1.2533842070889067e-08 1.637646671942745e-08 -918.2233478925767
0.8019000000000001 0.6875 1.697717057991094e-07 1.5144642907663403e-08 1.4410451317788573e-08 2.0905054795024907e-08 -918.2787985276792
0.88209 0.4375 2.096944485168692e-07 2.0824069641256868e-08 1.9372044520044117e-09 2.0913981866511736e-08 -918.1780310930606
0.96228 0.4375 2.2176540616956492e-07 2.26098759229451e-08 2.1007855592264963e-08 3.086318981953147e-08 -918.2827949078852
1.04247 0.4375 2.0297011604394414e-07 2.3780609717468535e-08 3.214053204250343e-08 3.998163576580814e-08 -918.2437940266637
1.1226600000000002 0.4375 1.6380761013311355e-07 2.4770206524465284e-08 2.6691293628779283e-08 3.641412207979723e-08 -918.0753928146596
1.2028500000000002 0.1875 1.2173437920620344e-07 3.7168466171433885e-08 1.9918308031546428e-08 4.2169110405326217e-08 -917.8447521618133
1.2830400000000002 0.1875 7.097919593366026e-08 3.8252197280883825e-08 9.762420910589932e-09 3.9478290981895096e-08 -918.0594810335666
1.3632300000000002 0.1875 3.17862996217119e-08 3.8908921687088946e-08 3.316516510406884e-08 5.112565269248077e-08 -918.2002257915728
1.4434200000000001 0.1875 6.744765201783107e-09 3.888538458174848e-08 4.486210830959444e-08 5.936903145624211e-08 -918.2728768834683
1.5236100000000001 0.1875 -5.313988476361447e-09 3.8314632602957e-08 4.503098588396413e-08 5.91252971339794e-08 -918.2824769293611
1.6038000000000001 0.171875 -8.957636594897869e-09 3.9072832752196936e-08 3.863900174971919e-08 5.495142141470006e-08 -918.2787985276865
1.68399 0.171875 -3.7722461845206e-09 3.825304166603313e-08 2.5503638252504437e-08 4.5975327740189894e-08 -918.2249032886573
1.76418 0.109375 1.1537010244025522e-09 4.637307544152643e-08 1.2979024672064458e-08 4.8155136873894976e-08 -918.1780310930603
