# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.24056999999999998 0.9375 -3.746297225937952e-10 7.321332233074427e-10 5.31017885229604e-10 9.044329997873069e-10 7.205854798956919e-05
0.32076 0.109375 -3.170168948793148e-09 1.929205866053292e-09 6.82155735415298e-10 2.0462579800637107e-09 0.0001389845951338635
0.40095000000000003 0.9375 2.5255000713135906e-09 2.4149033471090677e-09 1.8910898850879414e-09 3.0672429198484593e-09 0.0008507125149311658
0.48114 0.109375 1.7927932048608125e-08 4.4788977056232255e-09 9.368547079168211e-10 4.5758301324659005e-09 0.003092764423237592
0.56133 0.9375 3.2312444418257214e-08 4.728908217783981e-09 6.570890136966977e-09 8.095626604798098e-09 0.015745623258811643
0.64152 0.9375 6.717702183022566e-08 6.667516383217267e-09 2.04451373043923e-09 6.973937991868381e-09 0.031346387560774014
0.7217100000000001 0.109375 1.0244830503847042e-07 1.1332549093389915e-08 2.5376090008122166e-08 2.7791592488636023e-08 0.05510039266504083
0.8019000000000001 0.9375 1.7069181099156957e-07 8.203185756233916e-09 1.1139894793624365e-08 1.3834359853795124e-08 0.14447456821124982
0.88209 0.6875 2.0535555375241185e-07 1.0032175416150362e-08 1.9546836833455886e-09 1.0220828336409391e-08 0.21283136871807692
0.96228 0.109375 2.3505037698022943e-07 1.8599115739138182e-08 3.2711317779157933e-08 3.7629209626657205e-08 0.3740160118507459
1.04247 0.109375 2.2045061653984692e-07 1.5869429578653065e-08 6.53548920945476e-08 6.725400148572417e-08 0.4722111474003247
1.1226600000000002 0.109375 1.7722075765945728e-07 1.74392450226132e-08 6.250656784957829e-08 6.489374616473203e-08 0.5955029038398867
1.2028500000000002 0.109375 1.2225020178255406e-07 2.010432775459519e-08 3.038464548174165e-08 3.643364757357284e-08 0.7381342712194595
1.2830400000000002 0.109375 7.041766684822752e-08 2.0494614572411553e-08 1.1744669113842648e-08 2.3621314084219647e-08 0.8767503838296385
1.3632300000000002 0.109375 3.041043166803875e-08 1.8594350869283004e-08 4.63207035409875e-08 4.991349978494853e-08 0.9961057684217026
1.4434200000000001 0.109375 4.94632588005092e-09 1.5902630374621038e-08 6.440508473829339e-08 6.633934423084518e-08 1.0963097623970381
1.5236100000000001 0.109375 -7.1729471199683365e-09 1.4031723294395424e-08 6.54166141993238e-08 6.690457885611157e-08 1.1850571520776678
1.6038000000000001 0.109375 -8.957636594897869e-09 1.3605714878639996e-08 5.3727488164614215e-08 5.5423446859949143e-08 1.2687513579046503
1.68399 0.109375 -3.7722461845206e-09 1.397991107057231e-08 3.522692551099042e-08 3.789952762895572e-08 1.3490905355152718
1.76418 0.109375 5.433539040223735e-09 1.4255833579401964e-08 1.511894367997505e-08 2.0780068552386015e-08 1.4242050829412811
