# estar	 lambda	 rho	 errBayes	 errBoot	 A/A0	 likelihood

0.14559 2.0 -1.1786674590897145e-09 2.5871842009637666e-09 1.3802210547464963e-09 0.0006525779737811863 -830.8028506118399
0.14559 1.0 -1.3118833927978948e-09 3.514331330773707e-09 1.5002582871454344e-09 0.0006381174906987791 -828.3509304534617
0.14559 0.9375 -1.3238243570816508e-09 3.619138192323473e-09 1.5093566918808143e-09 0.0006373608774121987 -828.1158673637333
0.14559 0.6875 -1.3783219814714186e-09 4.175489486092356e-09 1.5495063137122347e-09 0.0006345291003564944 -826.961691903025
0.14559 0.4375 -1.4444575886129836e-09 5.1659422978949324e-09 1.6024747274821978e-09 0.0006318940002345226 -825.1884692722031
0.14559 0.1875 -1.4849111668695993e-09 7.774594048611262e-09 1.7321149520187428e-09 0.0006284345138445749 -821.5193941677978
0.14559 0.171875 -1.4785814371731366e-09 8.111774775353657e-09 1.752013383651593e-09 0.0006280796184250837 -821.1183209756983
0.14559 0.109375 -1.389535670720386e-09 1.0122290850435159e-08 1.8914867054331574e-09 0.0006261165784473117 -818.9770414726066
0.19412000000000001 2.0 6.6726636538812935e-09 3.2990814920897725e-09 2.224667006782481e-09 0.001571938721007094 -832.5077584579739
0.19412000000000001 1.0 9.683852063034657e-09 4.282829274835511e-09 3.1141841789181728e-09 0.001260880808659189 -830.1224206864919
0.19412000000000001 0.9375 9.99526965632213e-09 4.385366264157736e-09 3.2074654320298772e-09 0.0012340849884341196 -829.8960874692376
0.19412000000000001 0.6875 1.1523416447402148e-08 4.9070293506469156e-09 3.6757495227937787e-09 0.0011127771938884323 -828.7954735201714
0.19412000000000001 0.4375 1.3716699465090273e-08 5.76380601250257e-09 4.400325012575511e-09 0.00096218196341058 -827.1352281844283
0.19412000000000001 0.1875 1.6984355779312398e-08 7.784710029717565e-09 5.852967196222067e-09 0.0007615863075736447 -823.730150103994
0.19412000000000001 0.171875 1.722645367668584e-08 8.031525863080242e-09 6.016481742904983e-09 0.0007452354262110312 -823.3547519618223
0.19412000000000001 0.109375 1.8190402716422126e-08 9.457781612924802e-09 6.9736904030856706e-09 0.000665655484173616 -821.3302512360372
0.24265 2.0 1.577861402396674e-08 4.976203056372061e-09 4.6783399829162e-09 0.0039048131189301978 -833.8752013774578
0.24265 1.0 1.934751227739131e-08 5.975246186566575e-09 5.945299387794051e-09 0.0025457543950521484 -831.56045713846
0.24265 0.9375 1.9736864094787863e-08 6.072730865249515e-09 6.064424891714543e-09 0.0024473054821987166 -831.3385881937221
0.24265 0.6875 2.1712008755474412e-08 6.554328647635541e-09 6.637869802589366e-09 0.002031050570799984 -830.2628864130169
0.24265 0.4375 2.4764536441515267e-08 7.303942825576975e-09 7.471198193873634e-09 0.0015707526236313691 -828.6619853481459
0.24265 0.1875 2.9947940902262426e-08 8.95930151168707e-09 8.936680270602998e-09 0.0010678354451143148 -825.4527191464775
0.24265 0.171875 3.036929350403186e-08 9.157998401084251e-09 9.07233756900686e-09 0.00103665573717819 -825.1006248842803
0.24265 0.109375 3.2061363323497624e-08 1.0323050124262414e-08 9.718390642979069e-09 0.0009169837464049047 -823.1931037223719
0.29118 2.0 2.932481783575344e-08 5.607910319325476e-09 4.887676903443361e-09 0.007865233178252159 -834.966288616691
0.29118 1.0 2.9052926596067737e-08 6.987511501176097e-09 5.792162804595616e-09 0.006464372368930786 -832.7657854317001
0.29118 0.9375 2.9017686340675465e-08 7.137411927127847e-09 5.873244345515529e-09 0.006371529270807589 -832.5490387767181
0.29118 0.6875 2.881808807301242e-08 7.923513678291782e-09 6.2465007262473666e-09 0.006001783486617197 -831.4931032829666
0.29118 0.4375 2.8436787920956616e-08 9.30689838278827e-09 6.73888710664492e-09 0.005642787039227706 -829.9234717998826
0.29118 0.1875 2.7500852084949032e-08 1.2969926628015963e-08 7.640047577136163e-09 0.00526339428263683 -826.8419188122149
