# Energy 	 Lambda(Bayes) 	 Rho(Bayes) 	 Stat(Bayes) 	 Sys(Bayes) 	 Quadrature 	 NLL
0.14559 2.0 -1.1786674590897145e-09 2.5871842009637666e-09 1.5461907135584885e-10 2.5918003678801093e-09 -830.8028506118399
0.19412000000000001 2.0 6.6726636538812935e-09 3.2990814920897725e-09 5.059956404993368e-09 6.040455074899795e-09 -832.5077584579739
0.24265 2.0 1.577861402396674e-08 4.976203056372061e-09 6.919607391835305e-09 8.523119341848291e-09 -833.8752013774578
0.29118 2.0 2.932481783575344e-08 5.607910319325476e-09 8.727018646449954e-10 5.675408945102724e-09 -834.966288616691
0.33971 2.0 5.2449536552782245e-08 7.250577556144756e-09 1.4201447703685147e-08 1.5945281175889444e-08 -835.8055488048936
0.38824000000000003 2.0 8.609790527357427e-08 1.0012513283065188e-08 2.082161051247513e-08 2.3103893320753793e-08 -836.4221343176126
0.43677 2.0 1.24036135657995e-07 1.1936785755542578e-08 1.3200771555978087e-08 1.779739373747865e-08 -836.8447231924868
0.4853 2.0 1.5618996931850346e-07 1.2748649126589012e-08 4.6017719775607544e-09 1.3553758146224324e-08 -837.0967934690914
0.53383 2.0 1.745338419394393e-07 1.3468813824509181e-08 2.177074250820507e-08 2.5600276857836065e-08 -837.196513609969
0.58236 2.0 1.765695614390313e-07 1.4628482354044694e-08 2.953894075823337e-08 3.296272921196025e-08 -837.1579579003346
0.6308900000000001 2.0 1.649509319940931e-07 1.5806867395949397e-08 2.5751722100395313e-08 3.021602634379836e-08 -836.9922058505558
0.67942 1.0 1.49351186844226e-07 2.24991317021799e-08 2.0376378644408245e-08 3.0354698713911376e-08 -837.0786097819101
0.72795 1.0 1.2172904769848598e-07 2.2879866269279153e-08 1.8888945256276223e-09 2.2957704655061752e-08 -837.1744857825064
0.7764800000000001 1.0 9.559188434317222e-08 2.2836627203776706e-08 2.1380136967621028e-08 3.128293142911178e-08 -837.19873006041
0.82501 0.9375 7.314479935976333e-08 2.334626744574883e-08 3.5206955794995724e-08 4.224426517291092e-08 -837.1870669879015
0.8735400000000001 0.6875 5.196991150591747e-08 2.6783843788146313e-08 4.788604708355557e-08 5.486754772501068e-08 -837.1698276092113
0.9220700000000001 0.6875 4.102252491056285e-08 2.6772192994471123e-08 4.449575239324917e-08 5.192901211052014e-08 -837.1991564635051
0.9706 0.6875 3.484216912076712e-08 2.6786209385358145e-08 3.49351690293046e-08 4.4022347147128945e-08 -837.1815929348396
1.01913 0.6875 3.197414815874979e-08 2.6732412470387882e-08 2.2195800992508773e-08 3.474586965649303e-08 -837.1193918693172
1.06766 0.4375 2.8797152033815284e-08 3.2757162441762886e-08 1.0740545468543429e-08 3.447304756179659e-08 -837.1406494562318
