# Energy 	 Lambda(HLT) 	 Rho(HLT) 	 Stat(HLT) 	 Sys(HLT) 	 Quadrature 	 A/A0
0.14559 0.9375 -1.3118833927978948e-09 1.5002582871454344e-09 8.920501870431499e-12 1.500284807462294e-09 0.0006373608774121987
0.19412000000000001 0.109375 1.722645367668584e-08 6.016481742904983e-09 4.071404758243452e-09 7.2645983555979475e-09 0.000665655484173616
0.24265 0.109375 3.036929350403186e-08 9.07233756900686e-09 3.2912405562471476e-09 9.650884589772035e-09 0.0009169837464049047
0.29118 0.9375 2.9052926596067737e-08 5.792162804595616e-09 1.2500491482758615e-09 5.925518781342792e-09 0.006371529270807589
0.33971 0.109375 2.16238905868368e-08 1.3005826444733378e-08 1.1371657732220623e-08 1.7276172061232174e-08 0.013624646082700857
0.38824000000000003 0.109375 4.0527644300018676e-08 2.0687622943989346e-08 1.1154400682628688e-08 2.3503157184967762e-08 0.01866655475157246
0.43677 0.109375 9.498029620072162e-08 2.211377797494778e-08 4.858366685571128e-09 2.264117715969629e-08 0.03599119533484292
0.4853 0.9375 1.5767817429687185e-07 1.1571410578219059e-08 6.943389287683263e-09 1.3494747036163168e-08 0.11420664711336084
0.53383 0.171875 2.202847478085041e-07 2.0123527520925967e-08 3.437915926445967e-08 3.983569946187148e-08 0.19789480554358177
0.58236 0.171875 2.387171105476046e-07 2.4288008969593187e-08 5.211838518325727e-08 5.749985611997138e-08 0.2956029705182789
0.6308900000000001 0.171875 2.1917191611106276e-07 2.7421323351965276e-08 5.11602291946289e-08 5.8045654666133244e-08 0.4205052368787559
0.67942 0.109375 1.7606952120641624e-07 2.888661788004981e-08 3.0519680488559705e-08 4.2022465297407115e-08 0.5432220890424897
0.72795 0.109375 1.2007932986095867e-07 2.727510429410165e-08 2.057490640430939e-09 2.735259735362591e-08 0.6424773444725814
0.7764800000000001 0.109375 6.95586162578366e-08 2.4710396652405308e-08 3.848880467059423e-08 4.5738296729222e-08 0.720049087117531
0.82501 0.109375 3.256986635448864e-08 2.215610415777374e-08 6.875312258501136e-08 7.223492795483165e-08 0.7935149885778358
0.8735400000000001 0.109375 1.1105169318394178e-08 2.0524175167979735e-08 8.603494258098841e-08 8.844915551456604e-08 0.8797431116398039
0.9220700000000001 0.109375 3.176809171129234e-09 2.0228361365522156e-08 8.783290568384841e-08 9.013215810354239e-08 0.9841491026331013
0.9706 0.109375 5.001410494938582e-09 2.0831084104862408e-08 7.541645638765997e-08 7.824050075923383e-08 1.1002946005136993
1.01913 0.109375 1.2574450769234753e-08 2.148804808008183e-08 5.248773116683396e-08 5.6715942497094604e-08 1.2158916446922474
1.06766 0.109375 2.2530385348012844e-08 2.156487625204443e-08 2.3750356743834743e-08 3.20799522011085e-08 1.3195250245249694
