# Energy 	 Lambda 	 Rho 	 Stat 	 Sys 	 Quadrature 
0.33272 53.7109375 1.593311571356879e-07 2.556655817524338e-09 1.5793082494547145e-09 0.9051128957290033e-08
0.37431000000000003 2.13623046875 1.727528776299898e-07 7.616013647560944e-09 7.780244129583947e-09 0.4887417627507454e-08
0.4159 34.1796875 1.9706667239950026e-07 3.0875167688570514e-09 4.013945316376386e-09 5.064041548095099e-09
0.45749 34.1796875 2.0129719567144434e-07 3.4319002791597066e-09 3.1591741738321716e-09 4.664581544651638e-09
0.49908 34.1796875 1.9609127672508916e-07 3.749721578539696e-09 1.2076396335951743e-09 3.939391501386492e-09
0.58226 8.544921875 1.7072618694476642e-07 5.554570766043091e-09 5.001268305019932e-09 7.474352216331357e-09
0.66544 0.133514404296875 1.9109907766277218e-07 3.70200774371971e-08 2.8482515150726676e-08 4.670909764454292e-08
0.7486200000000001 0.057220458984375 1.45793107791277e-07 2.985824770902215e-08 8.018430278542423e-08 8.556306077647012e-08
0.8318000000000001 0.057220458984375 7.91669442094134e-08 2.4313789865984854e-08 5.00786389730841e-08 5.566893621261112e-08
0.91498 0.057220458984375 1.5650396894786837e-08 2.9254704358499417e-08 7.649620185038925e-09 3.023829386851315e-08
